"","Subtype","Provider","Name","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Complaints upheld since 22/23","Total"
"507","Older People","Private","Hutton Park Care Home","North Ayrshire","17/04/2024",4,4,4,4,4,0,20
"508","Learning Disabilities","Private","Stoneywood House & Villa","Falkirk","14/12/2023",5,6,5,5,5,0,26
"509","Older People","Private","Queensberry Care Home","Dumfries & Galloway","01/02/2024",3,3,3,4,3,0,16
"510","Learning Disabilities","Voluntary or Not for Profit","Brothers of Charity Services (Scotland) - Care Home Service","Scottish Borders","21/03/2023",4,4,3,3,3,0,17
"511","Learning Disabilities","Voluntary or Not for Profit","Tigh-na-Cloich","Highland","08/12/2023",5,5,5,5,4,0,24
"512","Older People","Private","Wyvis House Care Home","Highland","05/02/2024",3,4,4,4,3,2,18
"513","Older People","Private","Hebron House Nursing Home Ltd","Highland","30/05/2023",4,4,4,4,4,0,20
"514","Older People","Private","Burnlea","North Ayrshire","08/01/2024",5,5,5,5,5,0,25
"515","Older People","Private","Jordanhill Care Home","Glasgow City","03/05/2023",5,4,4,4,5,0,22
"516","Mental Health Problems","Voluntary or Not for Profit","Engage - Glenlora","Glasgow City","05/04/2024",3,4,4,4,4,0,19
"517","Older People","Voluntary or Not for Profit","Bankhouse","South Lanarkshire","07/03/2024",4,4,4,4,4,1,20
"518","Learning Disabilities","Voluntary or Not for Profit","Cherry Tree Court","South Lanarkshire","20/02/2024",5,5,4,4,5,0,23
"519","Older People","Private","Galahill House","Scottish Borders","20/10/2023",5,4,5,4,4,0,22
"520","Older People","Private","St. Johns","Scottish Borders","20/10/2023",4,5,5,5,4,0,23
"521","Learning Disabilities","Voluntary or Not for Profit","Inverurie Respite","Aberdeenshire","18/11/2019",5,5,4,4,5,0,23
"522","Older People","Local Authority","Renfrew Care Home","Renfrewshire","14/10/2022",4,4,5,5,4,0,22
"523","Older People","Private","Berelands House Care Home Service","South Ayrshire","01/08/2023",5,5,4,5,5,0,24
"524","Older People","Private","Orchar Nursing Home","Dundee City","02/08/2023",5,5,5,5,4,1,24
"525","Older People","Local Authority","Inch View","City of Edinburgh","14/03/2024",3,4,3,4,4,2,18
"526","Mental Health Problems","Private","Millbank","Clackmannanshire","22/08/2023",6,5,6,6,5,0,28
"527","Physical and Sensory Impairment","Voluntary or Not for Profit","Forward Vision","City of Edinburgh","22/08/2019",5,4,5,5,5,0,24
"528","Physical and Sensory Impairment","Voluntary or Not for Profit","Cornerstone - Uphall Care Home","West Lothian","28/06/2022",5,5,4,5,5,0,24
"529","Learning Disabilities","Voluntary or Not for Profit","Dunn Street, Duntocher - Respite Service","West Dunbartonshire","15/11/2022",5,4,4,5,5,0,23
"530","Learning Disabilities","Private","Extended Personal Care Limited - Respite","East Dunbartonshire","18/03/2024",5,5,4,5,4,0,23
"531","Older People","Private","Abbotsford Care, Methil","Fife","22/02/2024",3,4,3,3,4,1,17
"532","Older People","Private","Abbotsford Care, Newburgh","Fife","05/09/2023",3,3,3,4,4,0,17
"533","Older People","Private","Abbotsford Care, Kinglassie","Fife","22/09/2022",4,4,4,5,4,0,21
"534","Older People","Private","Abbotsford Care, Cowdenbeath","Fife","21/03/2024",5,5,4,5,5,0,24
"535","Learning Disabilities","Private","Abbotsford Care, East Wemyss","Fife","17/04/2024",5,5,6,5,5,0,26
"536","Older People","Private","Abbotsford Care, Glenrothes","Fife","08/01/2024",3,3,3,3,3,4,15
"537","Older People","Private","Alt- Na- Craig House","Inverclyde","22/03/2022",4,4,4,4,4,0,20
"538","Older People","Private","Northlands Care Home","Perth & Kinross","08/11/2023",5,4,5,5,4,1,23
"539","Mental Health Problems","Private","Hilton Court Care Home","Fife","05/04/2024",5,5,5,5,5,0,25
"540","Older People","Private","St Modans Care Home","Aberdeenshire","02/05/2024",5,4,5,5,4,3,23
"541","Physical and Sensory Impairment","Private","The Manor Care Centre","Highland","12/10/2023",3,3,4,3,3,3,16
"542","Older People","Private","Daviot Care Home","Highland","04/05/2023",4,4,5,4,4,0,21
"543","Older People","Private","Caledonia Care Home","North Ayrshire","17/07/2023",4,4,4,4,4,1,20
"544","Older People","Private","The Grove","Moray","07/04/2023",3,4,5,4,4,1,20
"545","Older People","Private","St Serfs","Fife","28/09/2023",3,3,4,4,4,0,18
"546","Older People","Voluntary or Not for Profit","Northcote Lodge Care Home","Aberdeen City","26/03/2024",4,4,5,5,5,0,23
"547","Older People","Private","Isle View Care Home","Highland","26/11/2021",4,4,4,4,4,0,20
"548","Older People","Private","Holmesview","West Lothian","17/01/2024",4,4,5,4,3,0,20
"549","Older People","Voluntary or Not for Profit","Southside Older People's Services","Glasgow City","14/05/2024",5,4,4,5,4,0,22
"550","Older People","Private","Cumbrae House","Glasgow City","23/11/2023",4,4,4,4,4,1,20
"551","Older People","Private","Victoria Lodge","Scottish Borders","12/09/2023",4,3,3,3,4,0,17
"552","Older People","Private","Bo'ness Care Home","Falkirk","23/05/2023",5,4,4,5,5,1,23
"553","Older People","Private","Lizdean Nursing Home","East Ayrshire","05/09/2023",4,4,3,4,4,0,19
"554","Older People","Private","Peebles Nursing Home","Scottish Borders","22/01/2024",3,3,4,3,3,0,16
"555","Older People","Private","Antiquary House","Angus","21/05/2024",5,4,4,4,5,1,22
"556","Older People","Private","Balhousie Dalnaglar","Perth & Kinross","11/01/2024",3,3,3,3,3,1,15
"557","Older People","Private","Glens Nursing Home","Angus","12/02/2024",3,3,3,3,3,6,15
"558","Older People","Private","Balhousie Luncarty Care Home","Perth & Kinross","01/05/2023",3,3,3,4,3,1,16
"559","Older People","Private","Monkbarns","Angus","20/06/2024",4,4,4,4,4,2,20
"560","Older People","Private","Moyness Nursing Home","Dundee City","21/06/2023",4,4,4,4,5,0,21
"561","Older People","Private","Balhousie Ruthven Towers","Perth & Kinross","05/06/2024",3,3,3,4,3,1,16
"562","Older People","Private","Stormont Lodge","Perth & Kinross","19/06/2024",3,3,3,3,3,0,15
"563","Older People","Private","Wheatlands","Falkirk","12/10/2023",3,3,3,3,3,4,15
"564","Older People","Private","Balhousie Clement Park","Dundee City","23/04/2024",4,4,4,4,4,3,20
"565","Older People","Private","Balhousie Coupar Angus","Perth & Kinross","05/07/2023",3,3,3,3,3,5,15
"566","Mental Health Problems","Private","William Simpsons","Stirling","27/03/2024",5,4,4,4,5,1,22
"567","Older People","Private","Heathfield House Care Home","South Ayrshire","06/02/2024",3,3,4,3,3,5,16
"568","Blood Borne Virus","Voluntary or Not for Profit","Waverley Care Milestone","City of Edinburgh","04/12/2023",4,4,5,6,4,0,23
"569","Older People","Private","Mossvale Care Home","Glasgow City","03/01/2024",3,4,4,4,3,2,18
"570","Older People","Private","Flemington Care Home","South Lanarkshire","17/06/2024",3,3,3,4,3,2,16
"571","Respite Care and Short Breaks","Voluntary or Not for Profit","Leuchie House","East Lothian","01/03/2022",5,5,5,5,5,0,25
"572","Learning Disabilities","Private","ASC Orchard Court and Dalguise","Perth & Kinross","13/06/2024",2,3,2,2,2,0,11
"573","Older People","Private","Astley House","East Lothian","31/08/2023",4,4,4,5,5,0,22
"574","Older People","Voluntary or Not for Profit","Crosby House","Aberdeen City","24/11/2023",5,5,4,4,5,1,23
"575","Mental Health Problems","Private","Hillcrest House","Highland","02/11/2022",4,5,5,5,5,0,24
"576","Older People","Private","Lorimer House Nursing Home","City of Edinburgh","13/08/2021",4,4,4,4,4,0,20
"577","Older People","Private","Carnbroe Care Centre","North Lanarkshire","21/07/2023",4,4,4,4,4,0,20
"578","Older People","Private","Blanefield Care Home","Stirling","10/10/2023",4,4,4,4,4,0,20
"579","Older People","Private","Crossgate Care Centre","East Ayrshire","15/05/2024",4,4,4,4,4,0,20
"580","Older People","Private","Annfield House","Stirling","08/01/2024",4,4,4,5,4,0,21
"581","Older People","Private","Barleystone","Falkirk","13/05/2024",4,5,4,4,4,2,21
"582","Older People","Private","Blar Buidhe Care Home","Na h-Eileanan Siar","19/04/2023",5,4,3,4,4,0,20
"583","Older People","Private","Cairnie Lodge","Angus","19/03/2024",4,4,4,4,4,0,20
"584","Older People","Private","Catmoor House","Perth & Kinross","27/11/2023",3,4,4,4,4,2,19
"585","Older People","Private","Chapel Level Nursing Home","Fife","06/05/2024",4,4,5,4,4,3,21
"586","Older People","Private","Douglas View Care Home","South Lanarkshire","10/06/2024",5,4,4,5,5,2,23
"587","Older People","Private","Drummohr Nursing Home","East Lothian","05/01/2024",3,3,3,3,3,2,15
"588","Older People","Private","Fairview Nursing Home","Stirling","05/07/2023",5,4,5,5,5,0,24
"589","Older People","Private","Finavon Court - Forfar","Angus","20/05/2024",3,4,3,4,4,3,18
"590","Older People","Private","Forthbank Nursing Home","Stirling","25/04/2023",4,5,4,5,4,2,22
"591","Older People","Private","Greenfield Park Care Centre","Glasgow City","22/11/2023",5,5,5,5,5,3,25
"592","Older People","Private","Hamewith Lodge","Aberdeen City","28/07/2023",4,4,4,4,4,2,20
"593","Older People","Private","Hillside View Nursing Home","Renfrewshire","31/07/2023",4,5,5,5,5,2,24
"594","Older People","Private","Kinnaird Manor Care Home","Falkirk","06/07/2023",4,5,4,5,5,1,23
"595","Older People","Private","Linlithgow Care Home","West Lothian","28/11/2023",4,4,4,4,4,1,20
"596","Older People","Private","Lomond Court Nursing Home","Fife","29/03/2024",3,4,4,4,4,0,19
"597","Older People","Private","Lunan Court","Angus","29/06/2023",4,4,4,4,4,1,20
"598","Older People","Private","Mavisbank","East Dunbartonshire","07/08/2023",4,4,4,4,5,1,21
"599","Older People","Private","Merino Court Nursing Home","Inverclyde","11/06/2024",5,4,4,5,5,2,23
"600","Older People","Private","Moss Park Nursing Home","Highland","28/07/2023",4,4,4,4,4,1,20
"601","Older People","Private","Murrayfield House Nursing Home","City of Edinburgh","08/04/2024",4,4,5,5,4,0,22
"602","Older People","Private","Riverside View","Dundee City","13/11/2023",3,4,3,4,4,2,18
"603","Older People","Private","Springfield Bank Nursing Home","Midlothian","14/05/2024",4,3,4,4,4,2,19
"604","Older People","Private","Strathtay House","Perth & Kinross","19/02/2024",4,5,5,5,4,0,23
"605","Older People","Private","The Beeches Nursing Home","Fife","03/08/2023",3,4,4,4,4,0,19
"606","Older People","Private","The Birches","Perth & Kinross","08/11/2019",5,4,5,5,5,0,24
"607","Older People","Private","Orchard Care Centre","Clackmannanshire","14/08/2023",5,4,4,4,5,0,22
"608","Older People","Private","The Village Nursing Home","North Lanarkshire","15/12/2023",4,3,3,3,3,1,16
"609","Older People","Private","Tranent Care Home","East Lothian","20/06/2023",5,5,4,4,4,3,22
"610","Older People","Private","Woodside Court Nursing Home","Fife","26/02/2024",3,3,4,3,4,3,17
"611","Older People","Private","Tor - Na - Dee Care Home","Aberdeen City","10/04/2024",5,3,3,3,5,0,19
"612","Older People","Private","Cathkin House Care Home","South Lanarkshire","25/09/2023",5,4,4,5,4,1,22
"613","Older People","Private","Caledonian Court Care Home","Falkirk","03/06/2024",5,5,4,5,5,1,24
"614","Older People","Private","Kyle Court Nursing Home","Renfrewshire","29/07/2022",5,4,5,5,6,0,25
"615","Older People","Private","Balfarg Care Centre","Fife","31/10/2023",3,5,4,4,3,0,19
"616","Older People","Private","Ballumbie Court","Dundee City","23/05/2024",5,5,5,5,5,2,25
"617","Older People","Private","Redmill Nursing Home","West Lothian","10/06/2024",4,3,4,4,4,9,19
"618","Older People","Private","Castle View Nursing Home","West Dunbartonshire","16/10/2023",4,4,3,4,4,1,19
"619","Older People","Private","Avonbridge Care Home","South Lanarkshire","12/07/2022",5,4,4,4,5,0,22
"620","Older People","Private","Cranford Care Centre","Aberdeen City","20/03/2024",4,3,4,4,3,3,18
"621","Older People","Private","Eastwood Court","East Renfrewshire","27/03/2024",3,3,4,3,3,0,16
"622","Older People","Private","Muirton House","Perth & Kinross","11/01/2024",3,3,3,4,3,1,16
"623","Older People","Private","Pitkerro Care Centre","Dundee City","28/02/2024",5,5,4,5,4,0,23
"624","Older People","Private","Lornebank Care Centre","South Lanarkshire","15/04/2024",4,4,4,4,4,3,20
"625","Older People","Private","Forth View Care Centre","Fife","15/04/2024",3,3,3,3,3,4,15
"626","Older People","Private","Westerfields Care Home","Renfrewshire","24/01/2024",4,4,4,5,4,6,21
"627","Older People","Private","Persley Castle","Aberdeen City","07/05/2024",2,3,3,3,3,2,14
"628","Older People","Private","Cowdray Club","Aberdeen City","04/09/2023",5,5,5,5,5,0,25
"629","Older People","Private","Meadowlark","Moray","02/05/2024",3,3,3,3,3,2,15
"630","Older People","Private","Letham Park Care Home","City of Edinburgh","29/01/2024",4,4,3,3,4,0,18
"631","Older People","Private","Belhaven House","South Ayrshire","19/04/2024",5,4,4,4,4,3,21
"632","Older People","Private","Westerton Care Home","East Dunbartonshire","09/01/2024",3,4,4,4,3,3,18
"633","Learning Disabilities","Voluntary or Not for Profit","Longcroft","Falkirk","04/01/2024",6,4,4,4,5,0,23
"634","Learning Disabilities","Voluntary or Not for Profit","2 The Steading","West Lothian","29/06/2023",4,4,4,4,4,0,20
"635","Older People","Private","St. Columba's Care Home","Dundee City","20/06/2024",3,3,4,3,3,1,16
"636","Older People","Private","Abbey House Residential Care Home","Angus","29/05/2023",4,5,3,4,4,0,20
"637","Older People","Private","Duncraggan Care Home","South Lanarkshire","04/04/2024",4,4,3,4,3,0,18
"638","Older People","Private","Goldielea Care Home","Dumfries & Galloway","09/02/2024",3,3,3,3,3,2,15
"639","Older People","Private","Ashgill Care Home","Glasgow City","14/05/2024",4,4,4,5,4,1,21
"640","Older People","Private","3 Bridges Care Home","Glasgow City","24/03/2023",5,5,5,5,5,0,25
"641","Older People","Health Board","Ach-an-Eas (Care Home)","Highland","16/11/2022",4,5,5,4,4,0,22
"642","Older People","Health Board","An Acarsaid (Care Home)","Highland","28/11/2022",5,4,4,5,4,0,22
"643","Older People","Health Board","Bayview House (Care Home)","Highland","16/09/2022",5,4,4,4,4,0,21
"644","Older People","Health Board","Grant House (Care Home)","Highland","01/06/2023",4,4,4,4,4,0,20
"645","Older People","Health Board","Invernevis House (Care Home)","Highland","31/08/2023",5,4,4,4,4,0,21
"646","Older People","Health Board","Lochbroom House (Care Home)","Highland","12/10/2022",5,5,5,5,5,0,25
"647","Older People","Health Board","Melvich Community Care Unit (Care Home)","Highland","13/06/2024",4,3,4,3,3,0,17
"648","Older People","Health Board","Pulteney House (Care Home)","Highland","21/10/2022",5,5,5,5,4,0,24
"649","Older People","Health Board","Seaforth House (Care Home)","Highland","23/06/2022",4,5,5,5,5,0,24
"650","Older People","Health Board","Strathburn (Care Home)","Highland","25/10/2023",3,4,4,4,3,0,18
"651","Older People","Health Board","Telford Centre (Care Home)","Highland","16/02/2022",4,4,4,4,4,0,20
"652","Older People","Health Board","Wade Centre (Care Home)","Highland","30/11/2023",4,4,4,4,4,0,20
"653","Older People","Private","Balhousie Brookfield","Angus","10/05/2024",3,4,3,3,3,3,16
"654","Older People","Private","Annan Court","Dumfries & Galloway","24/05/2023",3,3,4,3,4,1,17
"655","Older People","Voluntary or Not for Profit","Sir James McKay House","City of Edinburgh","22/05/2024",5,4,5,4,5,0,23
"656","Older People","Private","Balhousie St Ronans","Dundee City","26/03/2024",2,3,3,2,3,9,13
"657","Older People","Private","Kinning Park Care Home","Glasgow City","14/07/2023",3,4,4,4,4,1,19
"658","Respite Care and Short Breaks","Voluntary or Not for Profit","Hansel Alliance at Red Rose House","North Ayrshire","28/11/2022",4,5,4,5,4,0,22
"659","Older People","Private","Lancefield Care Home","Renfrewshire","25/03/2024",4,4,4,3,3,1,18
"660","Older People","Private","Ashlea House","Stirling","01/08/2022",4,4,4,4,4,0,20
"661","Older People","Private","Innis Mhor Care Home","Highland","24/02/2023",5,5,4,4,5,0,23
"662","Older People","Private","Antonine House","East Dunbartonshire","12/01/2024",4,4,4,4,4,0,20
"663","Older People","Private","Urray House","Highland","17/10/2023",5,5,5,5,5,0,25
"664","Older People","Private","Thorburn Manor Nursing Home","City of Edinburgh","03/08/2022",5,4,5,5,5,0,24
"665","Learning Disabilities","Private","Millburn Homes","South Lanarkshire","17/05/2022",4,4,5,4,4,0,21
"666","Older People","Private","The Bughties","Dundee City","26/02/2024",4,3,3,3,4,1,17
"667","Older People","Private","Abbotsford Care, Dunfermline","Fife","21/08/2023",3,3,4,4,4,2,18
"668","Alcohol & Drug Misuse","Voluntary or Not for Profit","Wheatley Care - Fullarton Service","Glasgow City","20/07/2022",5,4,5,4,4,0,22
"669","Older People","Private","Cairdean House","City of Edinburgh","12/03/2024",5,4,4,4,5,0,22
"670","Older People","Private","Mosswood Care Home","Renfrewshire","09/08/2022",4,5,5,5,4,0,23
"671","Older People","Private","Cumbrae Lodge Care Home","North Ayrshire","28/02/2024",3,4,4,3,4,0,18
"672","Older People","Private","Ailsa Lodge Care Home","Renfrewshire","05/01/2024",3,4,4,4,4,0,19
"673","Older People","Private","Ashgrove Care Home","Argyll & Bute","16/01/2023",4,4,4,4,4,1,20
"674","Older People","Private","Westbank Care Home","South Ayrshire","27/06/2024",3,3,3,3,3,0,15
"675","Older People","Private","Newlands Residential Home","Fife","16/04/2024",3,5,4,4,3,0,19
"676","Older People","Private","The Firs Care Home","East Renfrewshire","20/04/2023",4,4,4,4,4,0,20
"677","Mental Health Problems","Private","Gilmerton Neurological Care Centre","City of Edinburgh","21/11/2023",6,5,5,5,6,0,27
"678","Older People","Private","Bon Accord Care - Balnagask House","Aberdeen City","17/01/2024",3,4,3,4,4,0,18
"679","Older People","Private","Bon Accord Care - Fergus House","Aberdeen City","13/02/2023",5,5,4,4,5,0,23
"680","Older People","Private","Eastleigh Care Home","Aberdeen City","26/02/2024",4,4,4,4,4,0,20
"681","Older People","Private","Eildon House","City of Edinburgh","15/02/2024",5,4,4,4,5,0,22
"682","Older People","Private","Tigh-Na-Muirn Limited","Angus","13/06/2023",5,5,5,5,5,2,25
"683","Older People","Voluntary or Not for Profit","Nazareth House","Midlothian","15/02/2024",3,3,4,2,3,2,15
"684","Older People","Voluntary or Not for Profit","Nazareth House","Glasgow City","02/09/2022",4,4,5,4,4,0,21
"685","Older People","Private","Beechwood Park","Clackmannanshire","23/05/2023",4,4,4,4,4,1,20
"686","Older People","Private","Forth Bay","Fife","04/04/2024",4,4,4,4,4,0,20
"687","Older People","Private","Hillview Court","Clackmannanshire","01/06/2023",4,4,4,4,4,0,20
"688","Physical and Sensory Impairment","Private","Marchglen Care Centre","Clackmannanshire","11/12/2023",4,4,4,3,3,1,18
"689","Older People","Private","Scoonie House","Fife","13/07/2023",4,4,4,4,5,0,21
"690","Older People","Private","Strathview Care Home","Fife","08/06/2023",4,4,4,4,4,1,20
"691","Older People","Private","Silverburn Care Home","Glasgow City","28/03/2022",5,4,4,4,4,0,21
"692","Learning Disabilities","Private","Ellen Mhor","Dundee City","12/01/2024",4,4,4,4,4,0,20
"693","Learning Disabilities","Private","Ranaich House","Stirling","13/11/2023",5,4,4,4,5,0,22
"694","Learning Disabilities","Private","Trinity House","Dumfries & Galloway","14/07/2022",4,4,4,4,5,0,21
"695","Older People","Private","Deeside Care Home","Aberdeen City","07/03/2024",3,4,4,4,4,1,19
"696","Older People","Private","Parksprings Care Home","North Lanarkshire","10/06/2024",3,3,4,4,3,1,17
"697","Older People","Private","Thorntree Mews","Falkirk","14/03/2024",4,4,4,4,4,0,20
"698","Older People","Private","Wallace View","Stirling","07/12/2023",5,4,4,4,5,1,22
"699","Older People","Private","Templeton House","South Ayrshire","14/12/2023",4,4,5,4,4,4,21
"700","Older People","Private","Victoria House Care Home","South Lanarkshire","31/01/2024",4,3,4,5,4,1,20
"701","Older People","Voluntary or Not for Profit","Lower Johnshill","South Lanarkshire","17/06/2024",4,3,4,3,4,2,18
"702","Mental Health Problems","Private","The Oaks","Glasgow City","02/08/2022",4,4,5,4,4,0,21
"703","Older People","Local Authority","Crookston Care Home","East Lothian","24/10/2023",5,4,4,4,5,0,22
"704","Older People","Private","Executive Suites at 3 Bridges","Glasgow City","01/06/2022",5,4,6,5,5,0,25
"705","Older People","Private","Crofthead House Nursing Home","West Lothian","27/04/2023",4,4,4,4,5,0,21
"706","Older People","Private","Shalom Nursing Home","North Ayrshire","04/08/2023",5,5,5,4,5,0,24
"707","Learning Disabilities","Voluntary or Not for Profit","Cornerstone Sunnybank","Aberdeen City","11/01/2024",2,3,3,2,2,0,12
"708","Older People","Private","Ardnahein Care","Argyll & Bute","16/05/2022",4,4,5,5,5,0,23
"709","Older People","Private","Burnside Care Home","Aberdeenshire","18/06/2024",3,4,4,4,4,1,19
"710","Older People","Private","Newark Care Home","Inverclyde","15/12/2023",3,3,3,4,3,0,16
"711","Older People","Private","Cochrane Care Home","Renfrewshire","23/05/2024",5,4,5,4,4,0,22
"712","Older People","Private","Ranfurly Care Home","Renfrewshire","29/03/2023",3,3,3,4,3,1,16
"713","Older People","Private","Spiers Care Home","North Ayrshire","07/07/2023",4,4,4,4,4,0,20
"714","Alcohol & Drug Misuse","Voluntary or Not for Profit","Penumbra Milestone","City of Edinburgh","02/09/2022",5,5,5,5,5,0,25
"715","Older People","Voluntary or Not for Profit","Bethesda Care Home","Na h-Eileanan Siar","30/09/2022",4,5,5,5,5,0,24
"716","Respite Care and Short Breaks","Private","Bon Accord Care - Clashieknowe","Aberdeen City","06/07/2022",5,5,5,5,5,0,25
"717","Older People","Private","Harbour Care Home","Fife","26/03/2024",3,4,5,5,3,4,20
"718","Older People","Private","Mossview @ The Opera","Fife","18/03/2024",3,3,4,3,3,2,16
"719","Older People","Private","Rubislaw Park Care Home","Aberdeen City","12/06/2023",5,5,5,5,5,0,25
"720","Older People","Private","Balquhidder House","West Dunbartonshire","01/07/2022",3,5,5,5,3,0,21
"721","Older People","Private","St. Ninians Care Home","Perth & Kinross","29/09/2023",5,6,5,6,4,0,26
"722","Older People","Private","Clarkston House","East Renfrewshire","07/12/2022",5,5,5,5,5,0,25
"723","Older People","Private","Parkhouse Manor Care Home","Glasgow City","05/06/2024",4,3,3,4,3,2,17
"724","Older People","Local Authority","Orchard Grove House","Glasgow City","21/03/2022",4,4,4,4,4,1,20
"725","Older People","Local Authority","Riverside House","Glasgow City","24/06/2022",4,4,5,4,4,0,21
"726","Older People","Private","Raith Manor","Fife","18/07/2022",4,4,5,5,5,0,23
"727","Older People","Local Authority","Bennachie View","Aberdeenshire","01/11/2023",3,4,5,4,4,2,20
"728","Older People","Private","Ashley House Residential Home - Care Home","Aberdeen City","29/11/2023",5,5,5,5,4,0,24
"729","Older People","Private","Rannoch Lodge Care Home","North Lanarkshire","31/10/2023",4,4,4,4,4,1,20
"730","Mental Health Problems","Private","Riddrie House","Glasgow City","20/02/2023",4,4,4,4,4,0,20
"731","Older People","Local Authority","Ostlers House","Fife","07/05/2024",4,4,5,4,5,2,22
"732","Older People","Private","North Argyll House","Argyll & Bute","23/04/2024",4,4,5,4,3,0,20
"733","Older People","Private","Wyndwell Care Home","Aberdeenshire","12/01/2023",4,3,4,5,4,0,20
"734","Older People","Private","Avonhaugh Nursing Home","South Lanarkshire","10/03/2023",4,4,4,5,4,1,21
"735","Older People","Private","Mearns House","East Renfrewshire","31/01/2024",4,4,4,4,4,0,20
"736","Physical and Sensory Impairment","Private","Robert Allan House","Fife","17/04/2023",5,5,4,4,5,0,23
"737","Older People","Private","Hawkhill House Nursing Home","Aberdeen City","20/03/2024",5,3,3,3,6,0,20
"738","Learning Disabilities","Private","Mannering Avenue","Dumfries & Galloway","18/05/2022",5,5,5,4,5,0,24
"739","Older People","Voluntary or Not for Profit","Richmond House, Crieff","Perth & Kinross","13/12/2022",4,3,3,3,4,0,17
"740","Older People","Private","Glenbervie Care Home","Falkirk","28/02/2024",5,5,5,4,4,0,23
"741","Physical and Sensory Impairment","Voluntary or Not for Profit","Royal Blind Allermuir","City of Edinburgh","20/01/2020",5,4,5,5,5,0,24
"742","Older People","Local Authority","Royston Court","City of Edinburgh","19/06/2024",3,3,3,3,3,1,15
"743","Older People","Private","Angusfield Care Home","Aberdeen City","12/04/2024",4,5,4,4,4,0,21
"744","Older People","Private","Colinton Care Home","City of Edinburgh","16/08/2023",3,4,4,3,4,2,18
"745","Older People","Private","St. Margaret's Care Home","City of Edinburgh","06/03/2024",4,4,4,4,5,1,21
"746","Older People","Private","Whitecraigs Care Home","Glasgow City","13/07/2022",5,4,4,4,5,1,22
"747","Older People","Private","St. Francis Care Home","Glasgow City","14/02/2024",5,5,5,5,5,0,25
"748","Alcohol & Drug Misuse","Private","Abbeycare (UK)","Renfrewshire","11/01/2023",4,5,5,5,5,0,24
"749","Learning Disabilities","Private","Thistle","Dundee City","22/01/2024",4,4,4,4,4,0,20
"750","Older People","Private","The Haining Nursing Home","Falkirk","17/06/2024",3,4,2,3,3,3,15
"751","Older People","Private","West Park Care Home","East Ayrshire","02/03/2023",5,5,4,4,5,0,23
"752","Older People","Private","Manor Grange Care Home","City of Edinburgh","15/11/2022",5,4,5,4,5,1,23
"753","Older People","Private","Deanston House Nursing Home","North Lanarkshire","30/01/2024",4,4,5,4,4,0,21
"754","Older People","Private","Darnley Court","Glasgow City","10/07/2023",4,4,3,4,4,1,19
"755","Older People","Private","Claremont Care Home","South Ayrshire","08/09/2023",5,5,5,5,5,0,25
"756","Older People","Private","Eastbank Nursing Home","Glasgow City","20/05/2024",4,4,4,4,4,0,20
"757","Older People","Private","Fullarton Care Home","North Ayrshire","08/11/2023",4,4,4,4,4,2,20
"758","Older People","Private","Highgate Care Home","North Lanarkshire","13/05/2024",5,4,4,4,4,0,21
"759","Older People","Private","Balcarres","Dundee City","22/12/2023",6,5,5,5,6,0,27
"760","Older People","Private","Ailsa Craig","Glasgow City","11/03/2024",3,3,3,3,3,2,15
"761","Older People","Private","Balnacarron","Fife","26/09/2023",4,4,4,4,4,1,20
"762","Older People","Private","Hatton Lea Nursing Home","North Lanarkshire","31/05/2024",4,4,3,4,4,1,19
"763","Older People","Private","Kirknowe Nursing Home","North Lanarkshire","13/09/2023",5,4,4,4,5,0,22
"764","Older People","Private","Wyndford Locks Nursing Home","Glasgow City","09/05/2023",4,4,4,4,4,4,20
"765","Older People","Private","Quayside","Glasgow City","15/03/2023",4,4,4,4,4,4,20
"766","Older People","Private","Victoria Manor Nursing Home","City of Edinburgh","18/04/2024",3,4,3,3,3,7,16
"767","Older People","Private","Mugdock House Care Home","East Dunbartonshire","23/08/2022",5,5,NA,5,5,0,20
"768","Older People","Private","Georgia Park Care Home","South Lanarkshire","22/11/2022",4,5,5,5,4,1,23
"769","Mental Health Problems","Private","Clyde Valley Care Home","South Lanarkshire","07/12/2022",5,4,4,5,5,0,23
"770","Alcohol & Drug Misuse","Private","Calderglen House","South Lanarkshire","28/04/2023",4,4,4,4,4,0,20
"771","Older People","Private","Aaron House Care Home","Midlothian","18/04/2024",4,4,4,5,4,4,21
"772","Older People","Private","Lauder Lodge","City of Edinburgh","08/08/2023",5,5,5,5,5,0,25
"773","Older People","Private","Culduthel Care Home","Highland","21/07/2022",4,4,4,4,5,0,21
"774","Older People","Private","Springhill Care Home","East Ayrshire","27/06/2024",4,3,3,3,3,2,16
"775","Older People","Local Authority","Crosslet House Care Home","West Dunbartonshire","29/01/2024",5,5,5,5,5,0,25
"776","Older People","Local Authority","Napier House","Fife","27/11/2023",5,4,5,5,5,1,24
"777","Older People","Local Authority","Lindsay House","Fife","21/05/2024",3,3,5,3,3,0,17
"778","Older People","Private","Elizabeth House Residential Care Home","Fife","15/01/2024",4,4,4,4,4,1,20
"779","Older People","Private","Burnfoot Care Home","East Ayrshire","25/08/2023",5,5,4,5,5,0,24
"780","Older People","Private","Glebe House Care Home","East Ayrshire","01/08/2022",4,4,4,4,4,0,20
"781","Older People","Private","Doonbank House Care Home","East Ayrshire","24/10/2022",4,4,4,5,5,0,22
